MARKET,MARKET_TIMEZONE,PARTNER,PARTNER_REGISTR_DATE_LOCAL,TOTAL_REGISTRATIONS
VitalityHealth / Life,UTC,POLAR,2016-08-13,8
VitalityHealth / Life,UTC,POLAR,2016-08-14,9
VitalityHealth / Life,UTC,POLAR,2016-08-15,17
VitalityHealth / Life,UTC,POLAR,2016-08-16,18
VitalityHealth / Life,UTC,POLAR,2016-08-17,31
VitalityHealth / Life,UTC,VALIDIC,2016-08-13,134
VitalityHealth / Life,UTC,VALIDIC,2016-08-14,159
VitalityHealth / Life,UTC,VALIDIC,2016-08-15,187
VitalityHealth / Life,UTC,VALIDIC,2016-08-16,331
VitalityHealth / Life,UTC,VALIDIC,2016-08-17,264
